"","filename","channel"
"Alexa Fluor 405-A","Compensation Controls_Alexa Fluor 405 Stained Control.fcs","Alexa Fluor 405-A"
"Alexa Fluor 430-A","Compensation Controls_Alexa Fluor 430 Stained Control.fcs","Alexa Fluor 430-A"
"Alexa Fluor 488-A","Compensation Controls_Alexa Fluor 488 Stained Control.fcs","Alexa Fluor 488-A"
"APC-A","Compensation Controls_APC Stained Control.fcs","APC-A"
"APC-Cy7-A","Compensation Controls_APC-Cy7 Stained Control.fcs","APC-Cy7-A"
"PE-A","Compensation Controls_PE Stained Control.fcs","PE-A"
"PE-Cy5-A","Compensation Controls_PE-Cy5 Stained Control.fcs","PE-Cy5-A"
"PE-Cy5-5-A","Compensation Controls_PE-Cy5-5 Stained Control.fcs","PE-Cy5-5-A"
"PE-Cy7-A","Compensation Controls_PE-Cy7 Stained Control.fcs","PE-Cy7-A"
"PE-Texas Red-A","Compensation Controls_PE-Texas Red Stained Control.fcs","PE-Texas Red-A"
"PerCP-Cy5-5-A","Compensation Controls_PerCP-Cy5-5 Stained Control.fcs","PerCP-Cy5-5-A"
"Qdot 605-A","Compensation Controls_Qdot 605 Stained Control.fcs","Qdot 605-A"
"Qdot 655-A","Compensation Controls_Qdot 655 Stained Control.fcs","Qdot 655-A"
"Qdot 800-A","Compensation Controls_Qdot 800 Stained Control.fcs","Qdot 800-A"
"Unstained","Compensation Controls_Unstained Control.fcs","Unstained"
