"","Alexa Fluor 405-A","Alexa Fluor 430-A","Alexa Fluor 488-A","APC-A","APC-Cy7-A","PE-A","PE-Cy5-A","PE-Cy5-5-A","PE-Cy7-A","PE-Texas Red-A","PerCP-Cy5-5-A","Qdot 605-A","Qdot 655-A","Qdot 800-A"
"Alexa Fluor 405-A",1,0.0411561176,0.0001250065,-1.13632e-05,0,0,1.13632e-05,2.27265e-05,0,0,0,0.010689282,0.0043776528,0.0006027787
"Alexa Fluor 430-A",0.2419692838,1,0.0226320859,0,-0.000181695,0.0001817154,0,-0.0016352973,-0.0001816957,0.0003634065,0.0012718863,0.7487640808,0.3043728608,0.0204234095
"Alexa Fluor 488-A",0.0008004768,0.053595201,1,0,0,-0.0001302368,0,-0.0001302246,-0.0001302249,-0.0005209069,0.016741763,0.0287236147,0.010352316,0.0006511421
"APC-A",0.0004077865,0.0007981201,-0.0003982795,1,0.0669297351,-0.0001991565,0.075996091,0.4861864138,0.0270062494,0.0027883556,0.0119596038,0.0036027885,0.6976041598,0.0589834339
"APC-Cy7-A",0,0.0007369081,0,0.072463283,1,0.0007356059,0.0058844269,0.0584833794,0.3905537637,0.0018389121,0.0022065777,0.002585645,0.0498562781,1.1167245812
"PE-A",-5.19941e-05,0.0020909356,0.0058138797,0.0001524122,0,1,0.0478991992,0.4206947793,0.0140468772,1.5661712495,0.1160894602,0.3352701536,0.128721929,0.0072558378
"PE-Cy5-A",-0.0003052067,0.0002241917,0.0012681605,1.0930078114,0.0710614009,0.0226251814,1,10.2420195832,0.388031411,0.0427691977,2.4488185586,0.0087019383,1.4309924745,0.1792126762
"PE-Cy5-5-A",0.0029286016,0.0124527963,0.0004074457,0.005978763,0.0033957948,0.0277980833,0.0164941651,1,0.055519684,0.0411396842,0.2743124644,0.0189317227,0.0157683849,0.0311495791
"PE-Cy7-A",-0.000184833,0.0003016935,0.0018071596,0.0002408718,0.04596623,0.0107682359,0.0007828525,0.0542087408,1,0.0186984902,0.0205101124,0.0046836849,0.0018119453,0.5396844459
"PE-Texas Red-A",-0.0003231109,0.0006326224,0.0006314435,0.0003157143,0,0.1163802293,0.0489192746,0.4727354383,0.0192748054,1,0.1223534222,0.2086419453,0.1117773637,0.009790454
"PerCP-Cy5-5-A",-0.0001246343,0,0.0001218369,0.0120810944,0.0232967594,3.04616e-05,0.0076815536,0.7140945306,0.046069998,6.09191e-05,1,6.11665e-05,0.0497375366,0.5454066726
"Qdot 605-A",2.90571e-05,0.0002844635,0,0,-2.83833e-05,0.0022763085,5.67666e-05,0.0001135334,-2.83834e-05,0.0833292937,0.000113534,1,0.0158538546,0.0004257959
"Qdot 655-A",0.0320364368,0.0015417328,0,0.0117102752,0,5.91276e-05,0.0080186022,0.0106721337,0,0.0024848085,0.0058085961,0.0225464748,1,0.0004729911
"Qdot 800-A",-1.23424e-05,0.0001571472,1.20601e-05,8.44205e-05,0.0272453771,1.20612e-05,4.82395e-05,0.0322807008,0.0888108227,-1.20602e-05,0.0187654039,0.0002181865,0.0011054582,1
